Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BookAppointment,Chrome 117.0.0.0,,,2023-10-05 10:43:08,2023-10-05 10:43:32,"24,473s",PASSED
,,,,,,,
Test Cases/Login,Chrome 117.0.0.0,,,2023-10-05 10:43:09,2023-10-05 10:43:23,"14,114s",PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-10-05 10:43:10,2023-10-05 10:43:17,"6,952s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 117.0.0.0,,,2023-10-05 10:43:17,2023-10-05 10:43:18,"1,656s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 117.0.0.0,,,2023-10-05 10:43:18,2023-10-05 10:43:19,"1,145s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 117.0.0.0,,,2023-10-05 10:43:19,2023-10-05 10:43:21,"1,109s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 117.0.0.0,,,2023-10-05 10:43:21,2023-10-05 10:43:22,"0,955s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 117.0.0.0,,,2023-10-05 10:43:22,2023-10-05 10:43:23,"1,186s",PASSED
,,,,,,,
Test Cases/BookAnAppointment,Chrome 117.0.0.0,,,2023-10-05 10:43:23,2023-10-05 10:43:32,"9,526s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 117.0.0.0,,,2023-10-05 10:43:24,2023-10-05 10:43:26,"1,717s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 117.0.0.0,,,2023-10-05 10:43:26,2023-10-05 10:43:26,"0,613s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 117.0.0.0,,,2023-10-05 10:43:26,2023-10-05 10:43:27,"0,582s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Visit Date (Required)_visit_date""))",Chrome 117.0.0.0,,,2023-10-05 10:43:27,2023-10-05 10:43:28,"0,628s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_19""))",Chrome 117.0.0.0,,,2023-10-05 10:43:28,2023-10-05 10:43:28,"0,637s",PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""This is an automated test."")",Chrome 117.0.0.0,,,2023-10-05 10:43:28,2023-10-05 10:43:30,"1,534s",PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 117.0.0.0,,,2023-10-05 10:43:30,2023-10-05 10:43:31,"0,909s",PASSED
"example.MyKeywords.Congrats(""Nabil"")",Chrome 117.0.0.0,,,2023-10-05 10:43:31,2023-10-05 10:43:31,"0,031s",PASSED
"takeScreenshotAsCheckpoint(""booking_confirmation"")",Chrome 117.0.0.0,,,2023-10-05 10:43:31,2023-10-05 10:43:32,"1,587s",PASSED
